country,year,pop,gdppc,growth,mm,loess_trend,regimes
Spain,1970-01-01,33876.479,9502.939890629283,0.021923668113452477,0.06595758265838587,0.04790094355095417,Francoism
Spain,1971-01-01,34195.056,9885.877304701884,0.04029673116739496,0.05905883067283184,0.04009272530724557,Francoism
Spain,1972-01-01,34513.161,10787.692665989698,0.09122259294669743,0.05932186719209265,0.055906511606419976,Francoism
Spain,1973-01-01,34836.716,11629.701737238698,0.07805274930603079,0.0579817929931941,0.06369724379577898,Francoism
Spain,1974-01-01,35184.287,12379.949716151497,0.06451136889525544,0.05980477965290183,0.06441396913488445,Francoism
Spain,1975-01-01,35563.535,12613.324117916534,0.018850997549736848,0.054865731596210866,0.04616871845325308,Democracy
Spain,1976-01-01,35996.78,13044.985993676577,0.03422268957212404,0.05207017087134604,0.0390556771329244,Democracy
Spain,1977-01-01,36439,13335.21213888847,0.02224809941172623,0.05004969444920386,0.0299624242547344,Democracy
Spain,1978-01-01,36861.034,13568.676117616169,0.01750733143921024,0.047026412924691896,0.0207387221442842,Democracy
Spain,1979-01-01,37200.014,13678.09341878673,0.008063962926236012,0.03969001913278645,0.010778347606086446,Democracy
Spain,1980-01-01,37488.36,14005.934595454468,0.023968338761120922,0.03989448619755329,0.010380509329521278,Democracy
Spain,1981-01-01,37750.8,13895.314484184273,-0.007898088522139468,0.03507500422859985,-0.00386823180609671,Democracy
Spain,1982-01-01,37983.31,14046.104162293825,0.010851836299292206,0.027037928563859327,-0.003829742483754098,Democracy
Spain,1983-01-01,38184.166,14240.944745992354,0.013871503546269537,0.0206198039878832,-0.0016191093940384517,Democracy
Spain,1984-01-01,38362.861,14313.326648327431,0.005082661552734846,0.014676933253631142,-0.0018006803538731095,Democracy
Spain,1985-01-01,38534.853,14696.9656773837,0.026802925586910886,0.015472126057348545,0.010450572348721505,Democracy
Spain,1986-01-01,38707.556,15242.980691686094,0.03715154721648606,0.015765011821784747,0.02232450780917989,Democracy
Spain,1987-01-01,38880.702,16273.085083913356,0.06757893440021912,0.020298095320634035,0.046107901196492294,Democracy
Spain,1988-01-01,39053.881,17275.507552334802,0.061600026255155704,0.02470736480222858,0.06154034501158237,Democracy
Spain,1989-01-01,39214.523,18360.350662690114,0.06279659842519036,0.03018062835212402,0.07398995358102894,Democracy
Spain,1990-01-01,39350.769,19214.999999999996,0.0465486391306571,0.03243865838907763,0.07196448441438888,Democracy
Spain,1991-01-01,39420.56,19958.05964269484,0.03867081148555007,0.03709554838984659,0.0656907560312015,Democracy
Spain,1992-01-01,39512.73,20329.167740836685,0.018594397691244602,0.03786980452904183,0.04995351397291703,Democracy
Spain,1993-01-01,39599.12,20056.539615511396,-0.01341068797310585,0.03514158537710429,0.019257156872920032,Democracy
Spain,1994-01-01,39670.12,20673.954415535798,0.030783715030627823,0.03771169072489359,0.01938111426060149,Democracy
Spain,1995-01-01,39727.55,21522.096788725685,0.0410246804332961,0.03913386620953211,0.021737779279781475,Democracy
Spain,1996-01-01,39892.94,22185.06675997645,0.030804153413066082,0.038499126829190114,0.020105982012333955,Democracy
Spain,1997-01-01,40058.7,23113.615070459808,0.04185465477879613,0.035926698867047815,0.024197797809911673,Democracy
Spain,1998-01-01,40222.83,24284.861317461928,0.05067343396658974,0.03483403963819122,0.03294125516307045,Democracy
Spain,1999-01-01,40378.47,25549.53964290926,0.0520768189249643,0.03376206168816861,0.0411949529180373,Democracy
Spain,2000-01-01,40563.23,26994.86012029174,0.05656933540027986,0.03476413131513088,0.05025218749713044,Democracy
Spain,2001-01-01,40774.93,28153.55361296604,0.042922744830350856,0.03518932464961096,0.053864535060279634,Democracy
Spain,2002-01-01,41432.55,28753.322752068387,0.02130349679289245,0.03546023455977575,0.043460951704998856,Democracy
Spain,2003-01-01,42205.42,29371.86492785975,0.02151202423194265,0.0389525057802806,0.03635140590112047,Democracy
Spain,2004-01-01,42868.51,30088.09263524994,0.024384822317184085,0.03831261650893623,0.031248451805730895,Democracy
Spain,2005-01-01,43672.12,30885.602039559926,0.026505814575153774,0.03686072992312199,0.02606847100957262,Democracy
Spain,2006-01-01,44370.19,31907.423509758653,0.033084071629554845,0.03708872174477087,0.026811914422044503,Democracy
Spain,2007-01-01,45245.87,32735.433097933867,0.025950374461352954,0.035498293713026555,0.023243776541259725,Democracy
Spain,2008-01-01,45993.19,32844.326112024,0.0033264571073294835,0.030763596027100527,0.01136349792695319,Democracy
Spain,2009-01-01,46377.65,31669.69062082153,-0.035763726349448355,0.02197954149965926,-0.0145824783795572,Democracy
Spain,2010-01-01,46572.63,31786.404048037002,0.003685335250440902,0.016691141484675365,-0.014327243073232033,Democracy
Spain,2011-01-01,46746.44,31600,-0.005864269759967233,0.011812440025643555,-0.016960146640654525,Democracy
Spain,2012-01-01,46776.59,30645.215366245026,-0.03021470359984102,0.006660619986370209,-0.027346478686801474,Democracy
Spain,2013-01-01,46603.39,30327.451849054178,-0.010369107000659405,0.003472506863110003,-0.024398037536306025,Democracy
Spain,2014-01-01,46465.24,30842.182876356037,0.016972445620020427,0.002731269193393637,-0.010888352101365692,Democracy
Spain,2015-01-01,46420.26,32057.098255641897,0.03939135515006709,0.004019823250884969,0.010766098648782913,Democracy
Spain,2016-01-01,46459.99,33002.67434707953,0.029496621431455372,0.003661078231075021,0.023696590437670365,Democracy
Spain,2017-01-01,46543.01,33924.13541909865,0.027920800063909512,0.003858120791330677,0.03421705148188072,Democracy
Spain,2018-01-01,46738.99,34553.62592797743,0.01855583056434762,0.005381058137032491,0.03447507649354322,Democracy
Spain,2019-01-01,47115.62,34957.465528221546,0.011687329170196659,0.010126163688996992,0.031670281034850783,Democracy
Spain,2020-01-01,47366.01,30834.51319742432,-0.11794196943335955,-0.0020365667793830534,-0.02660078625666985,Democracy
Spain,2021-01-01,47341.86,32553.051028163532,0.05573422935967631,0.004123283132581301,-7.518364124887694e-4,Democracy
Spain,2022-01-01,47625.4,34123.386709528146,0.0482392780942722,0.011968681301992624,0.018684286248423138,Democracy
